username,prediction.homeTeam,prediction.awayTeam,round,date,pointsEarned,homeTeam,awayTeam,actualHome,actualAway,roundPoints,totalPoints
lucas,1,1,13,2025-07-11T21:16:37.000Z,0,Flamengo,São Paulo,2,0,20,111
lucas,1,0,13,2025-07-11T21:17:09.000Z,10,Internacional,Vitória,1,0,20,111
lucas,1,2,13,2025-07-11T21:17:16.000Z,5,Vasco,Botafogo,0,2,20,111
lucas,1,2,13,2025-07-11T21:17:27.000Z,0,Bahia,Atlético-MG,2,1,20,111
lucas,1,0,13,2025-07-11T21:17:45.000Z,5,Cruzeiro,Grêmio,4,1,20,111
lucas,0,0,13,2025-07-11T21:17:55.000Z,0,Fortaleza,Ceará,0,1,20,111
lucas,1,2,13,2025-07-11T21:18:04.000Z,0,Juventude,Sport,2,0,20,111
ricardomello,2,1,13,2025-07-11T21:18:35.000Z,0,Corinthians,Bragantino,1,2,15,157
lucas,0,0,13,2025-07-11T21:20:17.000Z,0,Corinthians,Bragantino,1,2,20,111
ricardomello,1,1,13,2025-07-11T21:24:33.000Z,0,Flamengo,São Paulo,2,0,15,157
ricardomello,2,0,13,2025-07-11T21:24:51.000Z,5,Internacional,Vitória,1,0,15,157
ricardomello,2,3,13,2025-07-11T21:25:01.000Z,5,Vasco,Botafogo,0,2,15,157
ricardomello,1,1,13,2025-07-11T21:25:09.000Z,0,Bahia,Atlético-MG,2,1,15,157
ricardomello,0,0,13,2025-07-11T21:25:16.000Z,0,Cruzeiro,Grêmio,4,1,15,157
ricardomello,1,1,13,2025-07-11T21:25:31.000Z,0,Fortaleza,Ceará,0,1,15,157
ricardomello,1,0,13,2025-07-11T21:25:42.000Z,5,Juventude,Sport,2,0,15,157
daniel,4,0,13,2025-07-11T21:28:59.000Z,5,Flamengo,São Paulo,2,0,25,132
daniel,3,1,13,2025-07-11T21:29:07.000Z,5,Internacional,Vitória,1,0,25,132
daniel,2,0,13,2025-07-11T21:29:16.000Z,0,Vasco,Botafogo,0,2,25,132
daniel,2,1,13,2025-07-11T21:29:25.000Z,10,Bahia,Atlético-MG,2,1,25,132
daniel,3,0,13,2025-07-11T21:29:36.000Z,0,Corinthians,Bragantino,1,2,25,132
daniel,2,0,13,2025-07-11T21:29:45.000Z,5,Cruzeiro,Grêmio,4,1,25,132
daniel,2,0,13,2025-07-11T21:29:55.000Z,0,Fortaleza,Ceará,0,1,25,132
daniel,0,0,13,2025-07-11T21:30:04.000Z,0,Juventude,Sport,2,0,25,132
joaozorzella,2,1,13,2025-07-12T00:47:57.000Z,5,Flamengo,São Paulo,2,0,25,167
joaozorzella,3,1,13,2025-07-12T00:48:16.000Z,5,Internacional,Vitória,1,0,25,167
joaozorzella,1,2,13,2025-07-12T00:48:29.000Z,5,Vasco,Botafogo,0,2,25,167
joaozorzella,2,2,13,2025-07-12T00:48:42.000Z,0,Bahia,Atlético-MG,2,1,25,167
joaozorzella,1,0,13,2025-07-12T00:49:05.000Z,0,Corinthians,Bragantino,1,2,25,167
joaozorzella,2,1,13,2025-07-12T00:49:21.000Z,5,Cruzeiro,Grêmio,4,1,25,167
joaozorzella,2,2,13,2025-07-12T00:49:39.000Z,0,Fortaleza,Ceará,0,1,25,167
joaozorzella,1,0,13,2025-07-12T00:49:55.000Z,5,Juventude,Sport,2,0,25,167
luciano,3,1,13,2025-07-12T01:28:25.000Z,5,Flamengo,São Paulo,2,0,30,163
luciano,1,1,13,2025-07-12T01:28:40.000Z,0,Internacional,Vitória,1,0,30,163
luciano,0,1,13,2025-07-12T01:29:03.000Z,5,Vasco,Botafogo,0,2,30,163
luciano,2,2,13,2025-07-12T01:29:24.000Z,0,Bahia,Atlético-MG,2,1,30,163
luciano,1,2,13,2025-07-12T01:29:40.000Z,10,Corinthians,Bragantino,1,2,30,163
luciano,2,1,13,2025-07-12T01:30:09.000Z,5,Cruzeiro,Grêmio,4,1,30,163
luciano,1,1,13,2025-07-12T01:30:30.000Z,0,Fortaleza,Ceará,0,1,30,163
luciano,1,0,13,2025-07-12T01:30:46.000Z,5,Juventude,Sport,2,0,30,163
murilo,3,1,13,2025-07-12T03:35:35.000Z,5,Flamengo,São Paulo,2,0,35,105
murilo,1,0,13,2025-07-12T03:35:44.000Z,10,Internacional,Vitória,1,0,35,105
murilo,2,2,13,2025-07-12T03:35:56.000Z,0,Vasco,Botafogo,0,2,35,105
murilo,1,2,13,2025-07-12T03:36:06.000Z,0,Bahia,Atlético-MG,2,1,35,105
murilo,1,2,13,2025-07-12T03:36:40.000Z,10,Corinthians,Bragantino,1,2,35,105
murilo,1,0,13,2025-07-12T03:36:49.000Z,5,Cruzeiro,Grêmio,4,1,35,105
murilo,2,0,13,2025-07-12T03:36:56.000Z,0,Fortaleza,Ceará,0,1,35,105
murilo,1,0,13,2025-07-12T03:37:05.000Z,5,Juventude,Sport,2,0,35,105
edmilson,1,2,13,2025-07-12T14:08:32.000Z,0,Flamengo,São Paulo,2,0,20,40
edmilson,2,0,13,2025-07-12T14:08:53.000Z,5,Internacional,Vitória,1,0,20,40
edmilson,1,2,13,2025-07-12T14:09:08.000Z,5,Vasco,Botafogo,0,2,20,40
edmilson,1,0,13,2025-07-12T14:09:29.000Z,5,Bahia,Atlético-MG,2,1,20,40
edmilson,2,0,13,2025-07-12T14:09:43.000Z,0,Corinthians,Bragantino,1,2,20,40
edmilson,1,1,13,2025-07-12T14:10:00.000Z,0,Cruzeiro,Grêmio,4,1,20,40
edmilson,2,1,13,2025-07-12T14:10:43.000Z,0,Fortaleza,Ceará,0,1,20,40
edmilson,3,1,13,2025-07-12T14:10:59.000Z,5,Juventude,Sport,2,0,20,40
bruno,1,0,13,2025-07-12T14:58:28.000Z,5,Flamengo,São Paulo,2,0,30,87
bruno,1,0,13,2025-07-12T14:58:37.000Z,10,Internacional,Vitória,1,0,30,87
bruno,1,0,13,2025-07-12T14:58:44.000Z,0,Vasco,Botafogo,0,2,30,87
bruno,1,0,13,2025-07-12T14:58:53.000Z,5,Bahia,Atlético-MG,2,1,30,87
bruno,1,0,13,2025-07-12T14:58:58.000Z,0,Corinthians,Bragantino,1,2,30,87
bruno,1,0,13,2025-07-12T14:59:13.000Z,5,Cruzeiro,Grêmio,4,1,30,87
bruno,1,0,13,2025-07-12T14:59:20.000Z,0,Fortaleza,Ceará,0,1,30,87
bruno,1,0,13,2025-07-12T14:59:25.000Z,5,Juventude,Sport,2,0,30,87
braulio,2,2,13,2025-07-12T15:11:29.000Z,0,Flamengo,São Paulo,2,0,25,158
braulio,2,1,13,2025-07-12T15:11:37.000Z,5,Internacional,Vitória,1,0,25,158
braulio,1,0,13,2025-07-12T15:11:44.000Z,0,Vasco,Botafogo,0,2,25,158
braulio,2,1,13,2025-07-12T15:12:00.000Z,10,Bahia,Atlético-MG,2,1,25,158
braulio,2,1,13,2025-07-12T15:12:11.000Z,0,Corinthians,Bragantino,1,2,25,158
braulio,2,1,13,2025-07-12T15:12:27.000Z,5,Cruzeiro,Grêmio,4,1,25,158
braulio,1,1,13,2025-07-12T15:12:36.000Z,0,Fortaleza,Ceará,0,1,25,158
braulio,1,0,13,2025-07-12T15:12:43.000Z,5,Juventude,Sport,2,0,25,158
ricardomello,2,1,14,2025-07-15T13:04:53.000Z,0,Palmeiras,Mirassol,1,1,15,157
ricardomello,1,0,14,2025-07-15T13:05:01.000Z,0,Ceará,Corinthians,0,1,15,157
ricardomello,3,0,14,2025-07-15T13:05:07.000Z,0,Botafogo,Vitória,0,0,15,157
ricardomello,2,2,14,2025-07-15T13:05:12.000Z,12,Bragantino,São Paulo,2,2,15,157
ricardomello,1,1,14,2025-07-15T13:05:18.000Z,0,Fluminense,Cruzeiro,0,2,15,157
daniel,0,2,14,2025-07-16T13:23:44.000Z,0,Palmeiras,Mirassol,1,1,25,132
daniel,0,1,14,2025-07-16T13:23:49.000Z,10,Ceará,Corinthians,0,1,25,132
daniel,2,0,14,2025-07-16T13:23:54.000Z,0,Botafogo,Vitória,0,0,25,132
daniel,3,1,14,2025-07-16T13:24:00.000Z,0,Bragantino,São Paulo,2,2,25,132
daniel,2,2,14,2025-07-16T13:24:05.000Z,0,Fluminense,Cruzeiro,0,2,25,132
braulio,2,1,14,2025-07-16T13:34:52.000Z,0,Palmeiras,Mirassol,1,1,25,158
braulio,0,1,14,2025-07-16T13:35:02.000Z,10,Ceará,Corinthians,0,1,25,158
braulio,4,0,14,2025-07-16T13:35:13.000Z,0,Botafogo,Vitória,0,0,25,158
braulio,1,1,14,2025-07-16T13:35:20.000Z,5,Bragantino,São Paulo,2,2,25,158
braulio,1,2,14,2025-07-16T13:35:30.000Z,5,Fluminense,Cruzeiro,0,2,25,158
lucas,1,0,14,2025-07-16T15:38:44.000Z,0,Palmeiras,Mirassol,1,1,20,111
lucas,1,1,14,2025-07-16T15:49:47.000Z,0,Ceará,Corinthians,0,1,20,111
lucas,1,0,14,2025-07-16T15:49:56.000Z,0,Botafogo,Vitória,0,0,20,111
lucas,1,1,14,2025-07-16T15:50:06.000Z,5,Bragantino,São Paulo,2,2,20,111
lucas,2,1,14,2025-07-16T15:50:26.000Z,0,Fluminense,Cruzeiro,0,2,20,111
ricardomello,1,2,14,2025-07-16T17:38:29.000Z,0,Santos,Flamengo,1,0,15,157
daniel,0,3,14,2025-07-16T18:21:08.000Z,0,Santos,Flamengo,1,0,25,132
lucas,1,2,14,2025-07-16T19:04:51.000Z,0,Santos,Flamengo,1,0,20,111
braulio,1,3,14,2025-07-16T19:24:58.000Z,0,Santos,Flamengo,1,0,25,158
joaozorzella,2,0,14,2025-07-16T19:42:19.000Z,0,Palmeiras,Mirassol,1,1,25,167
joaozorzella,1,1,14,2025-07-16T19:42:34.000Z,0,Ceará,Corinthians,0,1,25,167
joaozorzella,2,0,14,2025-07-16T19:42:53.000Z,0,Botafogo,Vitória,0,0,25,167
joaozorzella,1,0,14,2025-07-16T19:43:13.000Z,0,Bragantino,São Paulo,2,2,25,167
joaozorzella,1,2,14,2025-07-16T19:43:39.000Z,0,Santos,Flamengo,1,0,25,167
joaozorzella,0,1,14,2025-07-16T19:44:08.000Z,5,Fluminense,Cruzeiro,0,2,25,167
luciano,3,1,14,2025-07-16T21:01:35.000Z,0,Palmeiras,Mirassol,1,1,30,163
luciano,2,0,14,2025-07-16T21:01:52.000Z,0,Ceará,Corinthians,0,1,30,163
luciano,3,1,14,2025-07-16T21:02:12.000Z,0,Botafogo,Vitória,0,0,30,163
luciano,1,2,14,2025-07-16T21:02:25.000Z,0,Bragantino,São Paulo,2,2,30,163
luciano,1,1,14,2025-07-16T21:02:43.000Z,0,Fluminense,Cruzeiro,0,2,30,163
luciano,1,4,14,2025-07-16T21:02:55.000Z,0,Santos,Flamengo,1,0,30,163
murilo,3,0,14,2025-07-16T21:17:11.000Z,0,Palmeiras,Mirassol,1,1,35,105
murilo,1,0,14,2025-07-16T21:17:19.000Z,0,Ceará,Corinthians,0,1,35,105
murilo,1,1,14,2025-07-16T21:17:27.000Z,5,Botafogo,Vitória,0,0,35,105
murilo,2,1,14,2025-07-16T21:17:35.000Z,0,Bragantino,São Paulo,2,2,35,105
murilo,0,1,14,2025-07-16T21:17:46.000Z,5,Fluminense,Cruzeiro,0,2,35,105
murilo,0,2,14,2025-07-16T21:17:56.000Z,0,Santos,Flamengo,1,0,35,105
bruno,1,0,14,2025-07-16T22:35:49.000Z,0,Botafogo,Vitória,0,0,30,87
bruno,2,1,14,2025-07-16T22:35:54.000Z,0,Bragantino,São Paulo,2,2,30,87
bruno,1,0,14,2025-07-16T22:35:59.000Z,0,Fluminense,Cruzeiro,0,2,30,87
bruno,2,2,14,2025-07-16T22:36:04.000Z,0,Santos,Flamengo,1,0,30,87
ricardomello,1,1,15,2025-07-19T12:29:49.000Z,10,Fortaleza,Bahia,1,1,15,157
ricardomello,0,1,15,2025-07-19T12:29:59.000Z,0,Vasco,Grêmio,1,1,15,157
ricardomello,2,1,15,2025-07-19T12:30:08.000Z,5,Mirassol,Santos,3,0,15,157
ricardomello,1,2,15,2025-07-19T12:30:20.000Z,0,São Paulo,Corinthians,2,0,15,157
ricardomello,2,0,15,2025-07-19T12:30:48.000Z,5,Internacional,Ceará,1,0,15,157
ricardomello,2,0,15,2025-07-19T12:31:05.000Z,5,Cruzeiro,Juventude,4,0,15,157
ricardomello,1,2,15,2025-07-19T12:31:17.000Z,0,Vitória,Bragantino,1,0,15,157
ricardomello,2,1,15,2025-07-19T12:31:27.000Z,5,Palmeiras,Atlético Mineiro,3,2,15,157
ricardomello,1,3,15,2025-07-19T12:31:37.000Z,5,Sport,Botafogo,0,1,15,157
ricardomello,2,1,15,2025-07-19T12:31:48.000Z,5,Flamengo,Fluminense,1,0,15,157
luciano,1,1,15,2025-07-19T13:13:53.000Z,10,Fortaleza,Bahia,1,1,30,163
luciano,2,1,15,2025-07-19T13:14:10.000Z,0,Vasco,Grêmio,1,1,30,163
luciano,2,1,15,2025-07-19T13:14:34.000Z,5,Mirassol,Santos,3,0,30,163
luciano,2,0,15,2025-07-19T13:14:46.000Z,10,São Paulo,Corinthians,2,0,30,163
luciano,1,0,15,2025-07-19T13:15:08.000Z,10,Internacional,Ceará,1,0,30,163
luciano,4,1,15,2025-07-19T13:15:25.000Z,5,Cruzeiro,Juventude,4,0,30,163
luciano,1,1,15,2025-07-19T13:15:41.000Z,0,Vitória,Bragantino,1,0,30,163
luciano,1,2,15,2025-07-19T13:16:03.000Z,0,Palmeiras,Atlético Mineiro,3,2,30,163
luciano,0,2,15,2025-07-19T13:16:23.000Z,5,Sport,Botafogo,0,1,30,163
luciano,3,1,15,2025-07-19T13:16:47.000Z,5,Flamengo,Fluminense,1,0,30,163
murilo,0,1,15,2025-07-19T13:45:31.000Z,0,Fortaleza,Bahia,1,1,35,105
murilo,0,1,15,2025-07-19T13:45:38.000Z,0,Vasco,Grêmio,1,1,35,105
murilo,1,3,15,2025-07-19T13:45:47.000Z,0,Mirassol,Santos,3,0,35,105
murilo,2,0,15,2025-07-19T13:45:54.000Z,10,São Paulo,Corinthians,2,0,35,105
murilo,0,1,15,2025-07-19T13:46:03.000Z,0,Internacional,Ceará,1,0,35,105
murilo,1,1,15,2025-07-19T13:46:10.000Z,0,Cruzeiro,Juventude,4,0,35,105
murilo,1,2,15,2025-07-19T13:46:16.000Z,0,Vitória,Bragantino,1,0,35,105
murilo,3,1,15,2025-07-19T13:46:33.000Z,5,Palmeiras,Atlético Mineiro,3,2,35,105
murilo,0,2,15,2025-07-19T13:46:41.000Z,5,Sport,Botafogo,0,1,35,105
murilo,2,2,15,2025-07-19T13:46:49.000Z,0,Flamengo,Fluminense,1,0,35,105
braulio,0,2,15,2025-07-19T16:47:03.000Z,0,Fortaleza,Bahia,1,1,25,158
braulio,0,1,15,2025-07-19T16:47:15.000Z,0,Vasco,Grêmio,1,1,25,158
braulio,1,2,15,2025-07-19T16:47:23.000Z,0,Mirassol,Santos,3,0,25,158
braulio,1,0,15,2025-07-19T16:47:33.000Z,5,São Paulo,Corinthians,2,0,25,158
braulio,2,0,15,2025-07-19T16:47:44.000Z,5,Internacional,Ceará,1,0,25,158
braulio,3,0,15,2025-07-19T16:47:50.000Z,5,Cruzeiro,Juventude,4,0,25,158
braulio,0,1,15,2025-07-19T16:47:57.000Z,0,Vitória,Bragantino,1,0,25,158
braulio,2,1,15,2025-07-19T16:48:04.000Z,5,Palmeiras,Atlético Mineiro,3,2,25,158
braulio,0,4,15,2025-07-19T16:48:20.000Z,5,Sport,Botafogo,0,1,25,158
braulio,2,1,15,2025-07-19T16:48:33.000Z,5,Flamengo,Fluminense,1,0,25,158
daniel,1,2,15,2025-07-19T17:03:30.000Z,0,Fortaleza,Bahia,1,1,25,132
daniel,1,0,15,2025-07-19T17:03:39.000Z,0,Vasco,Grêmio,1,1,25,132
daniel,2,2,15,2025-07-19T17:04:03.000Z,0,Mirassol,Santos,3,0,25,132
daniel,0,3,15,2025-07-19T17:04:25.000Z,0,São Paulo,Corinthians,2,0,25,132
daniel,1,0,15,2025-07-19T17:04:41.000Z,10,Internacional,Ceará,1,0,25,132
daniel,4,0,15,2025-07-19T17:05:00.000Z,12,Cruzeiro,Juventude,4,0,25,132
daniel,2,0,15,2025-07-19T17:05:33.000Z,5,Vitória,Bragantino,1,0,25,132
daniel,0,3,15,2025-07-19T17:05:42.000Z,0,Palmeiras,Atlético Mineiro,3,2,25,132
daniel,0,2,15,2025-07-19T17:05:54.000Z,5,Sport,Botafogo,0,1,25,132
daniel,2,0,15,2025-07-19T17:06:04.000Z,5,Flamengo,Fluminense,1,0,25,132
bruno,1,0,15,2025-07-19T17:52:50.000Z,0,Fortaleza,Bahia,1,1,30,87
bruno,1,0,15,2025-07-19T17:52:54.000Z,0,Vasco,Grêmio,1,1,30,87
bruno,0,1,15,2025-07-19T17:53:00.000Z,0,Mirassol,Santos,3,0,30,87
bruno,1,0,15,2025-07-19T17:53:06.000Z,5,São Paulo,Corinthians,2,0,30,87
bruno,1,0,15,2025-07-19T17:53:09.000Z,10,Internacional,Ceará,1,0,30,87
bruno,1,0,15,2025-07-19T17:53:14.000Z,5,Cruzeiro,Juventude,4,0,30,87
bruno,1,1,15,2025-07-19T17:53:18.000Z,0,Vitória,Bragantino,1,0,30,87
bruno,1,0,15,2025-07-19T17:53:22.000Z,5,Palmeiras,Atlético Mineiro,3,2,30,87
bruno,1,1,15,2025-07-19T17:53:27.000Z,0,Sport,Botafogo,0,1,30,87
bruno,1,0,15,2025-07-19T17:53:31.000Z,11,Flamengo,Fluminense,1,0,30,87
lucas,0,0,15,2025-07-19T18:03:25.000Z,5,Fortaleza,Bahia,1,1,20,111
lucas,0,0,15,2025-07-19T18:03:33.000Z,5,Vasco,Grêmio,1,1,20,111
lucas,0,0,15,2025-07-19T18:03:47.000Z,0,Mirassol,Santos,3,0,20,111
lucas,0,0,15,2025-07-19T18:03:54.000Z,0,São Paulo,Corinthians,2,0,20,111
lucas,0,0,15,2025-07-19T18:04:06.000Z,0,Internacional,Ceará,1,0,20,111
lucas,0,0,15,2025-07-19T18:04:20.000Z,0,Cruzeiro,Juventude,4,0,20,111
lucas,0,0,15,2025-07-19T18:04:30.000Z,0,Vitória,Bragantino,1,0,20,111
lucas,0,0,15,2025-07-19T18:04:37.000Z,0,Palmeiras,Atlético Mineiro,3,2,20,111
lucas,0,0,15,2025-07-19T18:04:45.000Z,0,Sport,Botafogo,0,1,20,111
lucas,0,0,15,2025-07-19T18:04:51.000Z,0,Flamengo,Fluminense,1,0,20,111
joaozorzella,1,1,15,2025-07-19T18:19:10.000Z,10,Fortaleza,Bahia,1,1,25,167
joaozorzella,1,0,15,2025-07-19T18:19:32.000Z,0,Vasco,Grêmio,1,1,25,167
joaozorzella,0,0,15,2025-07-19T18:19:49.000Z,0,Mirassol,Santos,3,0,25,167
joaozorzella,2,1,15,2025-07-19T18:20:16.000Z,5,São Paulo,Corinthians,2,0,25,167
joaozorzella,1,0,15,2025-07-19T18:20:35.000Z,10,Internacional,Ceará,1,0,25,167
joaozorzella,3,1,15,2025-07-19T18:20:50.000Z,5,Cruzeiro,Juventude,4,0,25,167
